Product_name,Price,Rating,Description
Apple MacBook Air,89900.0,4.5,Processor: Apple M4 | RAM: Unknown | Memory: Unknown | Operating System: Macos | Storage: Unknown | Battery Life: up to 18 hours
Apple MacBook Pro M,186990.0,5.0,Processor: Unknown | RAM: Unknown | Memory: Unknown | Operating System: Macos | Storage: Unknown | Battery Life: Unknown
Lenovo IdeaPad Slim i,48833.0,3.9,Processor: Intel Core i5-12450H | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB SSD | Battery Life: Unknown
HP Victus Ryzen,56490.0,4.1,Processor: AMD Ryzen 5 5600H | RAM: 16GB DDR4 | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB PCIe | Battery Life: Unknown
Lenovo V15 Ryzen 3,26990.0,3.7,Processor: AMD Ryzen 3 7320U | RAM: 8GB LPDDR5 | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB SSD | Battery Life: Unknown
ASUS TUF Gaming Ryzen,64990.0,3.9,Processor: AMD Ryzen 7 7435HS | RAM: 16GB DDR5-5600 | Memory: Unknown | Operating System: Unknown | Storage: 512GB PCIe | Battery Life: Unknown
Dell G15 i5,74990.0,3.9,Processor: Intel Core i5-13450HX | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: 1TB SSD | Battery Life: Unknown
HP AMD Ryzen 3,29990.0,4.1,Processor: AMD Ryzen 3 7320U | RAM: Unknown | Memory: Unknown | Operating System: Unknown | Storage: Unknown | Battery Life: Unknown
ASUS Vivobook Ryzen,39990.0,3.9,Processor: AMD Ryzen 5 7520U | RAM: 16GB DDR5 | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB M.2 | Battery Life: Unknown
Dell Inspiron i,55900.0,3.5,Processor: 13th Gen Intel Core i5-1334U | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: 1TB SSD | Battery Life: Unknown
Lenovo Yoga,127990.0,5.0,Processor: Unknown | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: 1TB SSD | Battery Life: Unknown
ASUS TUF Gaming Ryzen,56990.0,3.9,Processor: AMD Ryzen 7 7435HS | RAM: 16GB DDR5-5600 | Memory: Unknown | Operating System: Unknown | Storage: 512GB PCIe | Battery Life: Unknown
HP 15s i3,33490.0,4.1,Processor: Intel Core i3-1215U | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: Unknown | Battery Life: Up to 7 hours
Acer Aspire Lite Ryzen,29490.0,3.9,Processor: AMD Ryzen 3 5300U | RAM: Unknown | Memory: Unknown | Operating System: Unknown | Storage: Unknown | Battery Life: Unknown
HP 13th i3,35990.0,3.9,Processor: 13th Gen Intel Core i3-1315U | RAM: 8GB DDR4 | Memory: Unknown | Operating System: Unknown | Storage: 512GB PCIe | Battery Life: up to 7 hours
Dell Thin i3,31990.0,3.8,Processor: Intel Core i3-1215U | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB SSD | Battery Life: Unknown
Lenovo IdeaPad Slim i,32990.0,3.9,Processor: 12th Gen Intel Core i3-1215U | RAM: 8GB DDR4-3200 | Memory: Unknown | Operating System: Windows 11 | Storage: Unknown | Battery Life: Unknown
HP 15s i3,32990.0,3.9,Processor: 12th Gen Intel Core i3-1215U | RAM: 8GB DDR4-3200 | Memory: Unknown | Operating System: Unknown | Storage: Unknown | Battery Life: Unknown
Apple MacBook Air,134490.0,4.5,Processor: Apple M4 | RAM: Unknown | Memory: Unknown | Operating System: Macos | Storage: Unknown | Battery Life: up to 18 hours
Lenovo Yoga,127990.0,5.0,Processor: Unknown | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: 1TB SSD | Battery Life: Unknown
Dell Inspiron i,36990.0,4.0,Processor: Intel Core i3-1305U | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB SSD | Battery Life: Unknown
Dell Inspiron i,52990.0,3.5,Processor: Intel Core i5-1334U | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB SSD | Battery Life: Unknown
Lenovo IdeaPad Slim i,32990.0,3.9,Processor: 12th Gen Intel Core i3-1215U | RAM: 8GB DDR4-3200 | Memory: Unknown | Operating System: Windows 11 | Storage: Unknown | Battery Life: Unknown
Lenovo V15 i7,45990.0,3.4,Processor: 12th Gen Intel Core I7-1255U | RAM: 16GB DDR4 | Memory: Unknown | Operating System: Windows 11 | Storage: 512GB SSD | Battery Life: Unknown
Lenovo IdeaPad Slim i,63390.0,4.0,Processor: Intel Core i7-13620H | RAM: Unknown | Memory: Unknown | Operating System: Windows 11 | Storage: Unknown | Battery Life: Unknown
Acer Aspire Lite Ryzen,26990.0,3.9,Processor: AMD Ryzen 3 5300U | RAM: Unknown | Memory: Unknown | Operating System: Unknown | Storage: Unknown | Battery Life: Unknown
Acer Aspire Celeron,22990.0,3.4,Processor: Celeron N4500 | RAM: 8GB LPDDR4X | Memory: Unknown | Operating System: Unknown | Storage: 512GB SSD | Battery Life: Unknown
Primebook Thin,13990.0,4.5,Processor: Mediatek MT8788 | RAM: Unknown | Memory: Unknown | Operating System: Unknown | Storage: Unknown | Battery Life: Unknown
Lenovo LOQ Ryzen 5,64990.0,4.0,Processor: AMD Ryzen 5 7235HS | RAM: 32GB DDR5-4800 | Memory: Unknown | Operating System: Unknown | Storage: 512GB SSD | Battery Life: Unknown
